name,url,location,address,type,comp
Entry Level Engineer,https://sfbay.craigslist.org/sby/egr/5604959460.html,santa clara,walsh at Martin,full-time,Competitive
Product Engineer (PE)_Manager/Director,https://sfbay.craigslist.org/sby/egr/5596698264.html,santa clara,"",full-time,DOE
Senior Process Engineer,https://sfbay.craigslist.org/sby/egr/5585037281.html,santa clara,walsh at Martin,full-time,Competitive
iOS/OS X Sync Quality Engineer - 48857456,https://sfbay.craigslist.org/sby/sof/5607532479.html,cupertino,"",full-time,Open
Staff R&D Engineer,https://sfbay.craigslist.org/sby/sci/5607370351.html,sunnyvale,1190 Borregas Ave.,full-time,Depends on experience
App Store Software Engineer - 42247431,https://sfbay.craigslist.org/sby/sof/5600944865.html,cupertino,"",full-time,Open
"iTunes Store, UI Engineer - 46071837",https://sfbay.craigslist.org/sby/sof/5600940243.html,cupertino,"",full-time,Open
Lead Test Engineer - 48846684,https://sfbay.craigslist.org/sby/sof/5600936813.html,cupertino,"",full-time,Open
iTunes Solutions Engineer - 36471092,https://sfbay.craigslist.org/sby/sof/5600931875.html,cupertino,"",full-time,Open
Senior C++ Software Engineer,https://sfbay.craigslist.org/pen/sof/5600781738.html,mountain view,"",full-time,"$130,000 - $150,000"
Operating Engineer,https://sfbay.craigslist.org/pen/trd/5600740595.html,palo alto,"",full-time,Depends on Experience
Symphony Senior Product Security Engineer (Crypto / PKI / HSM / RSA),https://sfbay.craigslist.org/pen/sof/5600536448.html,palo alto,1117 California St,full-time,"base salary, bonus, benefits, stock options"
Engineer,https://sfbay.craigslist.org/sby/trd/5600431487.html,san jose north,510 America Center Ct.,full-time,Depends on Experience
Structural Engineer,https://sfbay.craigslist.org/pen/egr/5572342753.html,redwood city,"",full-time,DES offers a competitive salary and benefits package.
"Universal Media, Sr. Software Engineer - 46496897",https://sfbay.craigslist.org/sby/sof/5596410996.html,cupertino,"",full-time,Open
IT Engineer,https://sfbay.craigslist.org/pen/sad/5595915719.html,mountain view,"",full-time,Commensurate with experience
Scala Engineer -- Real-time Analytics Startup,https://sfbay.craigslist.org/sby/sof/5594150383.html,santa clara,"",full-time,140k - 170k + Equity + Benefits
Sr. Systems and Operations Engineer,https://sfbay.craigslist.org/pen/sad/5593168530.html,redwood city,"",full-time,DOE
Software Pattern Recognition Engineer - 48830605,https://sfbay.craigslist.org/sby/sof/5593052535.html,cupertino,"",full-time,Open
OS International Applications Dev Test Engineer - Automation - 4860845,https://sfbay.craigslist.org/sby/sof/5593046817.html,cupertino,"",full-time,Open
Senior Systems and Consulting Engineer,https://sfbay.craigslist.org/pen/sad/5592468900.html,redwood city,609 Price Avenue,full-time,Depending on Experience
Windows C/C++ Software Engineer,https://sfbay.craigslist.org/sby/sof/5591545334.html,san jose north,"",full-time,DOE
Maintenance Engineer,https://sfbay.craigslist.org/sby/fbh/5590699540.html,milpitas,1820 Barber Lane,full-time,"Medical, Dental, Vision, Holiday, PTO, Community Time, FSA"
iOS Sr Software Engineer - Media Applications - 48059175,https://sfbay.craigslist.org/sby/sof/5607535000.html,cupertino,"",full-time,Open
Symphony Senior Product Security Engineer (Crypto / PKI / HSM / RSA),https://sfbay.craigslist.org/pen/sof/5589765739.html,palo alto,1117 California St,full-time,"base salary, bonus, benefits, stock options"
Office 365 Managed Services Engineer,https://sfbay.craigslist.org/sby/sad/5589344868.html,san jose west,4320 Stevens Creek Blvd,full-time,Market plus bonuses and incentives tied to performance
