Story Title,# of Upvotes,Category
"TIL In the month before the ancient Olympics no wars were permitted so that spectators could travel from across Greece unharmed,",6506,todayilearned
"Following the 9/11 terror attacks, the Danish queen walked Denmark's most busy shopping street alone; no bodyguards, no military officers. It is widely regarded as the only political statement she has ever made, in her 44 years of ruling.",6461,pics
"Amazing. How the mocap for ""The Witcher 3"" was done.",5218,gaming
Are... are you a human ?,5375,aww
Around Detroit Anyway,5499,funny
[Image] That is why I do what I do.,5348,GetMotivated
"We are L.A. Times reporters who spent more than a year investigating the nation’s bestselling painkiller, OxyContin. Ask Us Anything.",5057,IAmA
Sudoku book cover is of someone making a mistake,2511,mildlyinteresting
LPT: 🎶Like that song playing on Netflix? Turn on closed captioning and it will tell you.🎶,4405,LifeProTips
"Rio Olympics could spark 'full blown global health disaster', say Harvard scientists",6326,worldnews
"In Ant-Man, The Wasp appears to Scott Lang for a few quick frames just as he enters the sub-atomic realm. Here are some screen shots.",2728,movies
Study: Blood THC levels after smoking pot are useless in defining “too high to drive”,5621,news
"First time flyer, cruel friends.",5559,videos
These students surprised their teacher with kittens after her cat of 16 years passed away,4839,gifs
Power Wheels Jeep Restoration for my Three Year Old Son.,1139,DIY
Palouse Falls vs Milky Way [OC][750 x 1125],4890,EarthPorn
George RR Martin publishes new chapter from The Winds of Winter,3728,books
How do we take pictures of our galaxy if we are in our galaxy?,2643,askscience
A Man and his Comet (1978),3967,OldSchoolCool
Mapping the Thousand Most Ticketed but LEGAL parking spots in NYC [OC],4086,dataisbeautiful
On May 30th Mars is going to be at its closest point to earth for the next two years.,5116,space
"As a straight male, I sincerely hope that every man who is better looking than me is gay.",2958,Showerthoughts
Brick oven pizza from the farmers market,4383,food
"ELI5: If humans have infantile amnesia, how does anything that happens when we are young affect our development?",3697,explainlikeimfive
Jeremy Clarkson's Amazon show to be called The Grand Tour,3760,television
